Data Points Values and Ratios
Index	Value	Ratio (y/x)
1	0.3685	0.5695517774343122
1	0.4083	0.5908827785817656
1	0.4086	0.5787535410764874
1	0.5543	0.764551724137931
1	0.5458	0.6952866242038216
1	0.5251	0.7086369770580297
1	0.6008	0.6819523269012486
1	0.6493	0.7027056277056276
1	0.6478	0.675495307612096
1	0.8289	0.7962536023054755
1	0.8499	0.8017924528301886
1	0.7954	0.7775171065493647
2	0.3652	0.5450746268656717
2	0.4049	0.6024401130784109
2	0.4054	0.5975825471698113
2	0.5483	0.7157963446475196
2	0.5475	0.6801242236024844
2	0.52	0.6905710491367862
2	0.602	0.6959537572254335
2	0.6452	0.6891689809869685
2	0.6469	0.6859293818258934
2	0.829	0.7675925925925925
2	0.836	0.7593097184377838
2	0.7864	0.74399243140965
3	0.3678	0.540961906162671
3	0.409	0.6068249258160237
3	0.4081	0.5959404205607477
3	0.5385	0.6833756345177664
3	0.5509	0.7026785714285714
3	0.5168	0.6634146341463415
3	0.60182	0.6635281146637265
3	0.649	0.6953819779277831
3	0.6482	0.6882565300488427
3	0.8349	0.756935630099728
3	0.8452	0.7553172475424486
3	0.798	0.768046198267565
4	0.4088	0.5560391730141458
4	0.4467	0.5877631578947368
4	0.4488	0.5905263157894737
4	0.5974	0.738442521631644
4	0.6138	0.7162193698949825
4	0.591	0.7859042553191489
4	0.6283	0.6734190782422294
4	0.6692	0.6963579604578565
4	0.6692	0.6963579604578565
4	0.8742	0.7812332439678285
4	0.8765	0.7770390070921986
4	0.8572	0.7722522522522521
5	0.311	0.4983974358974359
5	0.3492	0.5650485436893204
5	0.3462	0.564763458401305
5	0.5121	0.6573812580231065
5	0.5193	0.6700645161290322
5	0.489	0.6635006784260515
5	0.57823	0.6606077916143037
5	0.6212	0.7032718215781728
5	0.6232	0.7072174307762142
5	0.7954	0.793812375249501
5	0.8083	0.7855199222546162
5	0.7648	0.7625124626121637
