# estar	 lambda	 rho	 errBayes	 errBoot	 A/A0	 likelihood

0.51225 10000.0 2.1626947822987212e-07 1.045452663575105e-09 8.31347051668173e-10 0.7315039681018132 8931.056195283429
0.51225 5000.0 2.520588192359037e-07 1.3171306714935288e-09 1.0897402220325587e-09 0.5582885995518229 4900.554320641445
0.51225 4687.5 2.5505322027108197e-07 1.3453268512790367e-09 1.1136077159989983e-09 0.5457676450979988 4614.576122727667
0.51225 3437.5 2.684792000955187e-07 1.4897240730892833e-09 1.2262648249695932e-09 0.49361139912022656 3415.1104007684726
0.51225 2187.5 2.850589120537585e-07 1.7326789752679448e-09 1.385794107719574e-09 0.4371665072493431 2107.8507732458797
0.51225 937.5 3.073397332419367e-07 2.334345171955739e-09 1.7241107356081322e-09 0.36372434568620965 652.6007306969008
0.51225 859.375 3.090881258111444e-07 2.409476538750435e-09 1.7680908057179971e-09 0.3569471438826023 555.1441194342343
0.51225 546.875 3.169393149286527e-07 2.8455348680174604e-09 2.0496500743076815e-09 0.321080376697622 155.48585723073555
0.51225 234.375 3.2749482910725816e-07 3.8816729989048e-09 2.9067597529267655e-09 0.24878210642648932 -262.62223923282517
0.51225 214.84375 3.28344066514921e-07 4.0045913097835644e-09 3.021296646718394e-09 0.2412914949871856 -289.4696392742628
0.51225 136.71875 3.321468984407649e-07 4.6938840977566514e-09 3.6838684097907938e-09 0.2040341760961739 -397.74531333009367
0.51225 58.59375 3.365229589385629e-07 6.241474481340426e-09 5.151306430924231e-09 0.1472873609981717 -507.078531256257
0.51225 53.7109375 3.367673688686526e-07 6.4225322465189035e-09 5.315538560866666e-09 0.14254521672980633 -513.8980731318411
0.51225 34.1796875 3.374683691412745e-07 7.4437511541050406e-09 6.210951087290805e-09 0.1208068650951261 -540.9768129320646
0.51225 14.6484375 3.368539368123293e-07 9.820208181991907e-09 8.043980020707023e-09 0.09186269559496268 -566.9971167194874
0.51225 13.427734375 3.367100872040332e-07 1.0108549196745645e-08 8.235016993234698e-09 0.08971745135501402 -568.5174094408608
0.51225 8.544921875 3.3590879100086297e-07 1.1786718489692353e-08 9.19695352046264e-09 0.08082387116570158 -574.2495312487811
0.51225 3.662109375 3.346420637590764e-07 1.607577988745977e-08 1.0786031710683145e-08 0.07181925981240392 -578.5995731951768
0.51225 3.35693359375 3.3453617252923086e-07 1.662962173776243e-08 1.0938546519428751e-08 0.07124785053090744 -578.74960782333
0.51225 2.13623046875 3.339577519420277e-07 1.9946632758698282e-08 1.1763499218709966e-08 0.06877767310730443 -578.971100726592
