# estar	 lambda	 rho	 errBayes	 errBoot	 A/A0	 likelihood

0.51225 10000.0 2.093141890808305e-07 1.0623291960186072e-09 8.438570084504265e-10 0.9776975554147717 8544.801363515564
0.51225 5000.0 2.4734812357162005e-07 1.3398576427654786e-09 1.0993050466936283e-09 0.7535571497582662 4775.339817550649
0.51225 4687.5 2.505414617373778e-07 1.368798944217363e-09 1.12311100787533e-09 0.7372682868899111 4503.297727631418
0.51225 3437.5 2.6491422011753875e-07 1.5171767910354166e-09 1.2377775696303332e-09 0.6680739311432945 3355.082915242239
0.51225 2187.5 2.828972922749657e-07 1.7662524686590677e-09 1.4095933927038893e-09 0.588633943091563 2089.523364828151
0.51225 937.5 3.077104095416466e-07 2.3740187290238292e-09 1.7895388650235476e-09 0.4788376703369194 658.6334093270897
0.51225 859.375 3.096714225889371e-07 2.4491783047870914e-09 1.8367122015095017e-09 0.46907554857789285 561.6781880345153
0.51225 546.875 3.183485502396408e-07 2.88448128288943e-09 2.1218585435109984e-09 0.4201949778033625 162.1448781248843
0.51225 234.375 3.289607323619035e-07 3.928388833362658e-09 2.910593891227513e-09 0.3322159337805926 -259.3449135556024
0.51225 214.84375 3.2971333604300093e-07 4.054031383673476e-09 3.0144250505257283e-09 0.3234394408297536 -286.51438213270904
0.51225 136.71875 3.3281113340067735e-07 4.766392277104874e-09 3.629292029906561e-09 0.2792015066288608 -396.1297350835451
0.51225 58.59375 3.3562293894309665e-07 6.391061652303795e-09 5.151377525430753e-09 0.20449480468649672 -506.62589294492216
0.51225 53.7109375 3.3573448524636246e-07 6.580703856642466e-09 5.335761171207474e-09 0.19759753071408115 -513.4938224991014
0.51225 34.1796875 3.3590856335511806e-07 7.640518776308365e-09 6.361517462348112e-09 0.16496463294434602 -540.6985648433937
0.51225 14.6484375 3.3493167572788044e-07 1.0049612087943038e-08 8.370542396265007e-09 0.12226140393945427 -566.6580848654859
0.51225 13.427734375 3.3476728564451226e-07 1.0339579887454872e-08 8.564094772102054e-09 0.11933720735042742 -568.1644420794211
0.51225 8.544921875 3.3377452220197696e-07 1.203069895247988e-08 9.48850855104262e-09 0.10785005996313353 -573.8272356804695
0.51225 3.662109375 3.312422970842573e-07 1.6407664388986166e-08 1.0870283292071404e-08 0.09745158208431882 -578.1074064410318
0.51225 3.35693359375 3.309172747747465e-07 1.69774207070389e-08 1.0999654728742859e-08 0.09682062054440461 -578.2551412901354
0.51225 2.13623046875 3.289488781100391e-07 2.040000602010275e-08 1.1728635832277104e-08 0.09400333147692967 -578.4722916495717
